id_popyt,id_jednostki,waga,sek,klasa_pr,sekc_pkd,woj,zawod_kod2,wolne_miejsca,id_cbop,jedna_zmiana,wymiar_40,wolne_miejsca_cbop,wolne_miejsca_niepeln_cbop
1,a9cc990df6a99ab215a1bc13f51d4825c7d52d18,1,1,D,O,14,1,2,,,,,
2,a9cc990df6a99ab215a1bc13f51d4825c7d52d18,1,1,D,O,14,2,7,,,,,
3,c9dbaf50890165ebe810aa770de0e9df903dc35b,6,1,D,O,24,2,6,,,,,
4,718e0bba42bcec6ed98f9690db6d26cb7b93c880,1,1,D,R.S,14,2,7,,,,,
5,532a1879a692b9d7bbb7282ba757d028156ef341,1,1,D,R.S,14,2,6,,,,,
6,0b6b623fa45e257284a3049d097af322841337e3,1,1,D,R.S,22,2,1,,,,,
7,c855a825e80866c00c7513721d5fcb38929f3cd6,1,1,S,R.S,26,4,3,,,,,
8,98861ee6b125b54b82dd6b27a86b85c13446b2ea,1,1,D,R.S,12,2,5,,,,,
9,98861ee6b125b54b82dd6b27a86b85c13446b2ea,1,1,D,R.S,12,4,4,,,,,
10,c8031e4e01ecee538c8c0685a0c90c759d7de62a,1,1,S,R.S,18,2,3,,,,,
11,c8031e4e01ecee538c8c0685a0c90c759d7de62a,1,1,S,R.S,18,3,6,,,,,
12,c8031e4e01ecee538c8c0685a0c90c759d7de62a,1,1,S,R.S,18,5,3,,,,,
13,305431233b9bf5157154e6d6c9273e508897964a,1,1,D,R.S,14,2,4,,,,,
14,f2ac960927b5254a7ce3429a8e37419612ba9fac,1,1,D,R.S,02,2,5,,,,,
15,d295e79ff582821bd6ba881d8a1c1d8cf3c3b1e1,1,1,D,R.S,14,1,2,,,,,
16,194a8613393e6db03323f2cca57486bc43d47e69,1,1,D,P,12,2,5,,,,,
17,194a8613393e6db03323f2cca57486bc43d47e69,1,1,D,P,12,4,2,,,,,
18,1bcf788330a0829c33214dcfa459bee286368010,1,1,D,P,10,4,3,,,,,
19,1bcf788330a0829c33214dcfa459bee286368010,1,1,D,P,10,7,3,,,,,
20,a33fa075272278e58dbddf7e05a32c496383eebf,1,1,D,P,02,2,10,,,,,
21,a33fa075272278e58dbddf7e05a32c496383eebf,1,1,D,P,02,3,6,,,,,
22,a33fa075272278e58dbddf7e05a32c496383eebf,1,1,D,P,02,4,7,,,,,
23,13420a87af980b72b11d8ca5d7280ec002944db0,1,1,D,P,04,7,5,,,,,
24,145585674c5afe4f36eb0267f1976d05a1aa3cf3,1,1,D,P,04,2,16,,,,,
25,145585674c5afe4f36eb0267f1976d05a1aa3cf3,1,1,D,P,04,9,4,,,,,
26,44e1bf649ccc62322ae99033109a533dec9cb141,1,1,D,P,24,2,4,,,,,
27,44e1bf649ccc62322ae99033109a533dec9cb141,1,1,D,P,24,4,3,,,,,
28,d9371744a05b90857c741b6d5301135afc36f38f,1,1,D,P,14,2,15,,,,,
29,d9371744a05b90857c741b6d5301135afc36f38f,1,1,D,P,14,3,13,,,,,
30,d9371744a05b90857c741b6d5301135afc36f38f,1,1,D,P,14,4,3,,,,,
31,d9371744a05b90857c741b6d5301135afc36f38f,1,1,D,P,14,5,7,,,,,
32,1854b0829848a77a11bb82b8259f2c03f92100c9,1,1,D,P,10,2,10,,,,,
33,1854b0829848a77a11bb82b8259f2c03f92100c9,1,1,D,P,10,3,5,,,,,
34,7fddce081cbb1dd5da072e1683e9bfd20acab593,1,1,D,P,30,2,7,,,,,
35,7fddce081cbb1dd5da072e1683e9bfd20acab593,1,1,D,P,30,3,1,1,FALSE,TRUE,1,0
36,7fddce081cbb1dd5da072e1683e9bfd20acab593,1,1,D,P,30,9,3,,,,,
38,7be60f7cb4e673bdfd08cd2e0f36a39d5184221c,1,1,D,P,12,3,4,,,,,
39,c365458756707fcaa4b845659738ee39887d394b,1,1,D,P,14,2,3,,,,,
40,41de5ca1bc184e4b814a37587938d69203850744,1,1,D,O,14,2,49,,,,,
41,41de5ca1bc184e4b814a37587938d69203850744,1,1,D,O,14,3,36,,,,,
42,41de5ca1bc184e4b814a37587938d69203850744,1,1,D,O,14,4,5,,,,,
43,4ec4f6c04823143c4849eeecee13f60ac8faff88,1,1,D,K.L,14,1,6,,,,,
44,4ec4f6c04823143c4849eeecee13f60ac8faff88,1,1,D,K.L,14,2,16,,,,,
45,4ec4f6c04823143c4849eeecee13f60ac8faff88,1,1,D,K.L,14,4,3,,,,,
46,3d40ca689a4dca7d774981dc7db408301bf7f192,1,1,D,O,14,1,7,,,,,
47,3d40ca689a4dca7d774981dc7db408301bf7f192,1,1,D,O,14,2,75,,,,,
48,3d40ca689a4dca7d774981dc7db408301bf7f192,1,1,D,O,14,3,7,1,TRUE,TRUE,1,0
49,3d40ca689a4dca7d774981dc7db408301bf7f192,1,1,D,O,14,4,12,1,TRUE,TRUE,1,0
50,c730010abdb9d20ccab34eacbe3c22a56fedad66,1,1,D,O,06,3,11,,,,,
51,2b5a57b0c2f03c2b252e559bcd77d52789d33d9c,1,1,D,O,04,2,6,,,,,
52,2b5a57b0c2f03c2b252e559bcd77d52789d33d9c,1,1,D,O,04,3,5,,,,,
53,2b5a57b0c2f03c2b252e559bcd77d52789d33d9c,1,1,D,O,04,4,3,1,TRUE,TRUE,1,0
54,2b5a57b0c2f03c2b252e559bcd77d52789d33d9c,1,1,D,O,04,8,5,,,,,
55,f2b18f5ef4386e70206d64810b5d3b7e0654918b,1,1,D,O,24,1,2,,,,,
56,f2b18f5ef4386e70206d64810b5d3b7e0654918b,1,1,D,O,24,2,3,,,,,
57,f2b18f5ef4386e70206d64810b5d3b7e0654918b,1,1,D,O,24,3,25,,,,,
58,f2b18f5ef4386e70206d64810b5d3b7e0654918b,1,1,D,O,24,4,7,1,TRUE,TRUE,4,0
59,e483df774bfef34fe1ceaec548831a79ced37d81,1,1,D,O,08,3,11,,,,,
60,ac1dd3ffadf76a8bd8609e87988aa5a0c81b9d66,1,1,D,O,30,2,6,,,,,
61,ac1dd3ffadf76a8bd8609e87988aa5a0c81b9d66,1,1,D,O,30,4,3,,,,,
62,de1a82a5c81418104dcdc7948ea75e0cd37c3580,1,1,D,O,24,2,18,,,,,
63,e2c108dbf57e366f38541d715642c36d4492226d,1,1,D,O,02,2,4,,,,,
64,e2c108dbf57e366f38541d715642c36d4492226d,1,1,D,O,02,3,26,,,,,
65,46c9121cb20e0aacecd0f797ff5ca08525626234,1,1,D,O,30,2,14,,,,,
66,46c9121cb20e0aacecd0f797ff5ca08525626234,1,1,D,O,30,4,5,,,,,
67,80fda0567bc18e3c568d31c40c0ce10ad768e52f,1,1,D,O,32,2,5,,,,,
68,80fda0567bc18e3c568d31c40c0ce10ad768e52f,1,1,D,O,32,3,12,,,,,
69,18029725c33f186706aa2443b8e64409a8224598,1,1,D,O,22,3,9,,,,,
70,18029725c33f186706aa2443b8e64409a8224598,1,1,D,O,22,4,6,,,,,
71,77157b7c3bbd6f8e01afe8113d1c3852f4fae834,1,1,D,O,12,1,3,,,,,
72,77157b7c3bbd6f8e01afe8113d1c3852f4fae834,1,1,D,O,12,2,4,,,,,
73,24b4ff51fc6e3a0a2c3f90499c8369ecc4583cdf,1,1,D,O,14,2,4,,,,,
74,0ed45652ff9b26d751a8aaa302be4a89c68a2f3b,1,1,D,O,28,3,9,,,,,
75,d644e38948c6e19aeca24308b5240097e84055a6,1,1,D,O,14,3,13,,,,,
76,d644e38948c6e19aeca24308b5240097e84055a6,1,1,D,O,14,4,3,,,,,
77,e5e0fd8be1d1b9dae551b9ae8444b1c82f78d0e5,1,1,D,O,12,2,7,,,,,
78,e5e0fd8be1d1b9dae551b9ae8444b1c82f78d0e5,1,1,D,O,12,3,17,,,,,
79,e5e0fd8be1d1b9dae551b9ae8444b1c82f78d0e5,1,1,D,O,12,4,4,,,,,
80,eb848cfa2a95bc9b742614e36e2f342b3bc0c1a9,1,1,D,O,10,3,10,,,,,
81,1b6a45782a23d5bd946f6d7d7a76f0712d17ef5b,1,1,D,O,32,3,2,,,,,
82,d086a8bf59e30a96bc813ecd30a3f69ab804cb4b,1,1,D,O,06,2,2,,,,,
83,d086a8bf59e30a96bc813ecd30a3f69ab804cb4b,1,1,D,O,06,3,8,,,,,
84,e9ca428c56969088032c8825ac4b784610215f4c,1,1,D,O,26,3,4,,,,,
85,b4f766928a4bd2d6fbca5f84716c624260180819,1,1,D,O,30,2,6,,,,,
86,b4f766928a4bd2d6fbca5f84716c624260180819,1,1,D,O,30,4,29,,,,,
87,bf17263f8fa3a9ff12d7ff60c10c4e426aeeb36e,1,1,D,O,04,3,6,1,TRUE,TRUE,1,0
88,e989fbed4c98dad03d29cd4b697d872cb2ea2f66,1,1,D,O,22,2,9,,,,,
89,e989fbed4c98dad03d29cd4b697d872cb2ea2f66,1,1,D,O,22,3,21,,,,,
90,e989fbed4c98dad03d29cd4b697d872cb2ea2f66,1,1,D,O,22,4,6,,,,,
91,93dd94ca4c959281f009caeefa4d35acbf1109a4,1,1,D,O,30,2,3,,,,,
92,93dd94ca4c959281f009caeefa4d35acbf1109a4,1,1,D,O,30,4,12,,,,,
93,050bd466c627e7437690aea043115a3089ff3f7d,1,1,D,O,14,3,46,,,,,
94,1dcd42c4219dc4bd9b88a49e0330f15f335e1467,2,2,D,C,18,2,3,,,,,
95,09c38dc34b4e35bfa2bb3118924caa92a76ac38d,2,1,D,M,24,2,5,,,,,
96,998a689fc768b79558d1167b412fd265f5a0e31b,1,1,D,D.E,24,8,3,,,,,
99,544588f1fb2997bf568fad5fb6f0362eae9e6ede,1,1,S,I,24,9,2,,,,,
100,906983754cea2b7b5b040f9f7772f04c581f7973,1,1,D,M,24,2,4,,,,,
101,969fecea2c989d9204c7bf811ae2a4d117982356,1,2,D,C,12,4,2,,,,,
102,969fecea2c989d9204c7bf811ae2a4d117982356,1,2,D,C,12,7,10,,,,,
103,969fecea2c989d9204c7bf811ae2a4d117982356,1,2,D,C,12,8,12,,,,,
104,1099e2e9638dff4ba6917046eaa09866d2ac2fa9,1,2,D,C,24,1,4,,,,,
105,1099e2e9638dff4ba6917046eaa09866d2ac2fa9,1,2,D,C,24,2,3,,,,,
